state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020
Kentucky,KY,2023,JJA,ssp585,High emissions (SSP585),22.143751643125203,22.83220207841429,-0.688450435289085
Kentucky,KY,2024,JJA,ssp585,High emissions (SSP585),23.188267577943154,22.83220207841429,0.35606549952887084
Kentucky,KY,2025,JJA,ssp585,High emissions (SSP585),23.318120487034616,22.83220207841429,0.48591840862033003
Kentucky,KY,2026,JJA,ssp585,High emissions (SSP585),21.614275243449445,22.83220207841429,-1.217926834964847
Kentucky,KY,2027,JJA,ssp585,High emissions (SSP585),21.854000041947142,22.83220207841429,-0.9782020364671455
Kentucky,KY,2028,JJA,ssp585,High emissions (SSP585),23.33755572536584,22.83220207841429,0.5053536469515508
Kentucky,KY,2029,JJA,ssp585,High emissions (SSP585),24.143621383777464,22.83220207841429,1.3114193053631729
Kentucky,KY,2030,JJA,ssp585,High emissions (SSP585),22.458078886805797,22.83220207841429,-0.37412319160849244
Kentucky,KY,2031,JJA,ssp585,High emissions (SSP585),22.888716607167762,22.83220207841429,0.056514528753475186
Kentucky,KY,2032,JJA,ssp585,High emissions (SSP585),24.07979372616925,22.83220207841429,1.2475916477549598
Kentucky,KY,2033,JJA,ssp585,High emissions (SSP585),22.102089879719973,22.83220207841429,-0.7301121986943184
Kentucky,KY,2034,JJA,ssp585,High emissions (SSP585),24.562348424272834,22.83220207841429,1.7301463458585473
Kentucky,KY,2035,JJA,ssp585,High emissions (SSP585),23.1200511958768,22.83220207841429,0.2878491174625099
Kentucky,KY,2036,JJA,ssp585,High emissions (SSP585),23.75445692405155,22.83220207841429,0.9222548456372625
Kentucky,KY,2037,JJA,ssp585,High emissions (SSP585),23.906161278524483,22.83220207841429,1.073959200110199
Kentucky,KY,2038,JJA,ssp585,High emissions (SSP585),24.6778659396257,22.83220207841429,1.8456638612114125
Kentucky,KY,2039,JJA,ssp585,High emissions (SSP585),24.343386297479935,22.83220207841429,1.511184219065644
Kentucky,KY,2040,JJA,ssp585,High emissions (SSP585),23.919192804383407,22.83220207841429,1.0869907259691165
Kentucky,KY,2041,JJA,ssp585,High emissions (SSP585),24.30485100575364,22.83220207841429,1.4726489273393497
Kentucky,KY,2042,JJA,ssp585,High emissions (SSP585),22.646762951326437,22.83220207841429,-0.18543912708784818
Kentucky,KY,2043,JJA,ssp585,High emissions (SSP585),23.36521481460971,22.83220207841429,0.5330127361954269
Kentucky,KY,2044,JJA,ssp585,High emissions (SSP585),24.528122703498806,22.83220207841429,1.6959206250845207
Kentucky,KY,2045,JJA,ssp585,High emissions (SSP585),23.7664755335642,22.83220207841429,0.9342734551499107
Kentucky,KY,2046,JJA,ssp585,High emissions (SSP585),24.479037410791484,22.83220207841429,1.6468353323771943
Kentucky,KY,2047,JJA,ssp585,High emissions (SSP585),23.381773835790263,22.83220207841429,0.549571757375973
Kentucky,KY,2048,JJA,ssp585,High emissions (SSP585),23.072946545006232,22.83220207841429,0.24074446659194304
Kentucky,KY,2049,JJA,ssp585,High emissions (SSP585),24.349660729107082,22.83220207841429,1.5174586506927938
Kentucky,KY,2050,JJA,ssp585,High emissions (SSP585),26.084888904293614,22.83220207841429,3.2526868258793304
Kentucky,KY,2051,JJA,ssp585,High emissions (SSP585),23.824406774820805,22.83220207841429,0.9922046964065161
Kentucky,KY,2052,JJA,ssp585,High emissions (SSP585),23.654057804086722,22.83220207841429,0.8218557256724316
Kentucky,KY,2053,JJA,ssp585,High emissions (SSP585),22.83319078384685,22.83220207841429,0.000988705432558125
Kentucky,KY,2054,JJA,ssp585,High emissions (SSP585),23.195414064268782,22.83220207841429,0.363211985854492
Kentucky,KY,2055,JJA,ssp585,High emissions (SSP585),25.059306423603047,22.83220207841429,2.227104345188756
Kentucky,KY,2056,JJA,ssp585,High emissions (SSP585),24.460338584344623,22.83220207841429,1.6281365059303377
Kentucky,KY,2057,JJA,ssp585,High emissions (SSP585),24.297366672399715,22.83220207841429,1.4651645939854296
Kentucky,KY,2058,JJA,ssp585,High emissions (SSP585),24.605640175597205,22.83220207841429,1.7734380971829151
Kentucky,KY,2059,JJA,ssp585,High emissions (SSP585),23.901664214057647,22.83220207841429,1.0694621356433607
Kentucky,KY,2060,JJA,ssp585,High emissions (SSP585),24.232998804012837,22.83220207841429,1.400796725598548
Kentucky,KY,2061,JJA,ssp585,High emissions (SSP585),24.800938189298027,22.83220207841429,1.968736110883738
Kentucky,KY,2062,JJA,ssp585,High emissions (SSP585),26.264773153999013,22.83220207841429,3.4325710755847227
Kentucky,KY,2063,JJA,ssp585,High emissions (SSP585),24.458306815848243,22.83220207841429,1.6261047374339517
